,UniProtID,Symbol,FullName,GOIDs,Tissues
505,O15226,NKRF,NF-kappa-B-repressing factor,"['GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0001228', 'GO:0003723', 'GO:0000978', 'GO:0045892', 'GO:0045944']","['Cervix carcinoma', 'Pancreas', 'Skin', 'Fetal brain', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
506,O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,"['GO:0005829', 'GO:0016020', 'GO:0005782', 'GO:0005777', 'GO:0003997', 'GO:0071949', 'GO:0005504', 'GO:0050660', 'GO:0016402', 'GO:0005102', 'GO:0033540', 'GO:0055088', 'GO:0006625']","['Liver', 'Uterus']"
507,O15265,ATXN7,Ataxin-7,"['GO:0005829', 'GO:0015630', 'GO:0016363', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0036459', 'GO:0016578', 'GO:0000226', 'GO:0006997', 'GO:0016579', 'GO:0007601']","['Lymphoblast', 'Colon', 'Trachea', 'Testis']"
508,O15270,SPTLC2,Serine palmitoyltransferase 2,"['GO:0005789', 'GO:0016021', 'GO:0017059', 'GO:0030170', 'GO:0004758', 'GO:0046513', 'GO:1904504', 'GO:0046511', 'GO:0030148', 'GO:0006686', 'GO:0046512']","['Pancreas', 'Brain', 'Lymph', 'Pancreatic islet', 'Pancreatic islet']"
509,O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,"['GO:0042995', 'GO:0005829', 'GO:0000123', 'GO:0031966', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0032991', 'GO:0008375', 'GO:0005547', 'GO:0016262', 'GO:0097363', 'GO:0006915', 'GO:0032922', 'GO:0080182', 'GO:0043984', 'GO:0043981', 'GO:0043982', 'GO:0032435', 'GO:0031397', 'GO:0048015', 'GO:0120162', 'GO:0061087', 'GO:0045862', 'GO:0045944', 'GO:0016579', 'GO:0006493', 'GO:0016485', 'GO:0006111', 'GO:0006110', 'GO:0046626', 'GO:0035020', 'GO:0006357', 'GO:0032868', 'GO:0007584', 'GO:0007165', 'GO:0016032']","['Liver', 'Endometrium', 'Fetal brain', 'Spinal cord', 'Colon', 'Pancreas', 'Hepatoma', 'Cervix carcinoma', 'Erythroleukemia']"
510,O15297,PPM1D,Protein phosphatase 1D,"['GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0004724', 'GO:0046872', 'GO:0051019', 'GO:0004674', 'GO:0004722', 'GO:0009267', 'GO:0006342', 'GO:0030330', 'GO:0006306', 'GO:0000086', 'GO:0008285', 'GO:0045814', 'GO:0035970', 'GO:0006470', 'GO:0009617', 'GO:0009314', 'GO:0006367']","['Brain', 'Skin', 'Leukemic T-cell', 'Erythroleukemia']"
511,O15355,PPM1G,Protein phosphatase 1G,"['GO:0005737', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0004724', 'GO:0046872', 'GO:0004722', 'GO:0007050', 'GO:0035970', 'GO:0006470']","['Skeletal muscle', 'Placenta', 'Skin', 'Embryonic kidney', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver', 'Colon carcinoma']"
512,O15370,SOX12,Transcription factor SOX-12,"['GO:0044798', 'GO:0005654', 'GO:0005634', 'GO:0032993', 'GO:0003677', 'GO:0001228', 'GO:0000981', 'GO:0003713', 'GO:0000976', 'GO:0030154', 'GO:0045165', 'GO:0045944', 'GO:0065004', 'GO:0006357', 'GO:0006355', 'GO:0021510']","['Fetal brain', 'Prostate']"
513,O15374,SLC16A4,Monocarboxylate transporter 5,"['GO:0005887', 'GO:0016020', 'GO:0008028', 'GO:0015293', 'GO:0015718']","['Placenta', 'Lung', 'Mesangial cell', 'Placenta', 'Substantia nigra', 'Brain']"
514,O15397,IPO8,Importin-8,"['GO:0005829', 'GO:0005635', 'GO:0005654', 'GO:0008565', 'GO:0008536', 'GO:0006606', 'GO:0060964', 'GO:0007165']","['Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell']"
515,O15403,SLC16A6,Monocarboxylate transporter 7,"['GO:0005887', 'GO:0016020', 'GO:0008028', 'GO:0015293', 'GO:0015718']","['Blood', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma']"
516,O15409,FOXP2,Forkhead box protein P2,"['GO:0005634', 'GO:0050681', 'GO:0003677', 'GO:0003700', 'GO:0000981', 'GO:0001227', 'GO:0042802', 'GO:0046872', 'GO:0046982', 'GO:0042803', 'GO:0000978', 'GO:0043565', 'GO:0043010', 'GO:0021757', 'GO:0021549', 'GO:0021987', 'GO:0098582', 'GO:0048286', 'GO:0045892', 'GO:0060501', 'GO:0002053', 'GO:0009791', 'GO:0021758', 'GO:0033574', 'GO:0060013', 'GO:0007519', 'GO:0048745', 'GO:0042297']","['Brain', 'Corpus striatum', 'Fetal brain', 'Frontal cortex', 'Brain', 'Tongue', 'Brain', 'Brain cortex']"
517,O15431,SLC31A1,High affinity copper uptake protein 1,"['GO:0005887', 'GO:0005770', 'GO:0043025', 'GO:0005886', 'GO:0055037', 'GO:0005375', 'GO:0042802', 'GO:0006878', 'GO:0072719', 'GO:0098705', 'GO:0006825', 'GO:0006855']","['Testis', 'Liver', 'Skeletal muscle', 'Lung', 'Erythroleukemia']"
518,O15503,INSIG1,Insulin-induced gene 1 protein,"['GO:0005783', 'GO:0005789', 'GO:0032937', 'GO:0036315', 'GO:0006695', 'GO:0042632', 'GO:0060363', 'GO:0042472', 'GO:0042474', 'GO:1901303', 'GO:0045599', 'GO:0045717', 'GO:0070862', 'GO:0010894', 'GO:0060021', 'GO:0032933', 'GO:0036316', 'GO:0006641']","['Placenta', 'Mammary tumor', 'Skin']"
519,O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,"['GO:0015629', 'GO:0005885', 'GO:0005737', 'GO:0005829', 'GO:0005768', 'GO:0070062', 'GO:0005576', 'GO:1904813', 'GO:0005925', 'GO:0030426', 'GO:0030027', 'GO:0005634', 'GO:0034774', 'GO:0035861', 'GO:0051015', 'GO:0005200', 'GO:0030036', 'GO:0051639', 'GO:0034314', 'GO:0016477', 'GO:0048013', 'GO:0038096', 'GO:0097581', 'GO:0030011', 'GO:0061024', 'GO:0061842', 'GO:0043312', 'GO:0021769', 'GO:0014909']","['Skin', 'Platelet', 'Liver']"
520,O15516,CLOCK,Circadian locomoter output cycles protein kaput,"['GO:0033391', 'GO:0005694', 'GO:0005829', 'GO:0043231', 'GO:0005654', 'GO:0005634', 'GO:0005667', 'GO:0031490', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0070888', 'GO:0004402', 'GO:0046983', 'GO:0000980', 'GO:0000978', 'GO:0043565', 'GO:0071479', 'GO:0032922', 'GO:0007623', 'GO:0000077', 'GO:2000323', 'GO:0045892', 'GO:0009648', 'GO:0050729', 'GO:0051092', 'GO:0045944', 'GO:0045893', 'GO:0043161', 'GO:0006473', 'GO:0042634', 'GO:0050796', 'GO:0006357', 'GO:0006355', 'GO:2000074', 'GO:0051775', 'GO:0007165', 'GO:0007283']","['Brain', 'Placenta', 'Lung', 'Brain', 'Liver']"
521,O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,"['GO:0005829', 'GO:0016020', 'GO:0005634', 'GO:0005524', 'GO:0003677', 'GO:0004386', 'GO:0003723']","['Testis', 'Thalamus', 'Testis']"
522,O15524,SOCS1,Suppressor of cytokine signaling 1,"['GO:0005737', 'GO:0036464', 'GO:0031410', 'GO:0005829', 'GO:0005654', 'GO:0005942', 'GO:0046935', 'GO:0005159', 'GO:0019210', 'GO:0019901', 'GO:0004860', 'GO:0071230', 'GO:0019221', 'GO:0045444', 'GO:0038111', 'GO:0035556', 'GO:0043377', 'GO:0046627', 'GO:0046426', 'GO:0042532', 'GO:0046854', 'GO:0043372', 'GO:0045591', 'GO:0016567', 'GO:0007259', 'GO:0010533', 'GO:0050707', 'GO:0040008', 'GO:0060334', 'GO:0001932']","['T-cell lymphoma', 'Myeloid leukemia cell', 'B-cell']"
523,O15525,MAFG,Transcription factor MafG,"['GO:0005654', 'GO:0005634', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0046982', 'GO:0000978', 'GO:0043565', 'GO:0030534', 'GO:0007596', 'GO:0001701', 'GO:0042127', 'GO:0030641', 'GO:0045604']","['Muscle', 'Muscle', 'Lung', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
524,O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,"['GO:0016607', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0005689', 'GO:0005524', 'GO:0034459', 'GO:0003725', 'GO:0003723', 'GO:0003724', 'GO:0006397', 'GO:0000398', 'GO:0043279', 'GO:0009636', 'GO:0008380']","['Placenta', 'Prostate', 'Lymphoblast', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
525,O43148,RNMT,mRNA cap guanine-N7 methyltransferase,"['GO:0001650', 'GO:0005845', 'GO:0031533', 'GO:0005654', 'GO:0005634', 'GO:0043235', 'GO:0004482', 'GO:0003723', 'GO:0006370', 'GO:1990830', 'GO:0006366']","['Brain', 'Ovary']"
526,O43150,ASAP2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2","['GO:0032580', 'GO:0005886', 'GO:0005096', 'GO:0046872']","['Brain', 'Placenta', 'Cervix carcinoma', 'Platelet', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
527,O43151,TET3,Methylcytosine dioxygenase TET3,"['GO:0005694', 'GO:0005737', 'GO:0001939', 'GO:0001940', 'GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0005506', 'GO:0070579', 'GO:0006211', 'GO:0080111', 'GO:0044727', 'GO:0080182', 'GO:0070989', 'GO:0045944', 'GO:0006493']","['Duodenum', 'Brain']"
528,O43164,PJA2,E3 ubiquitin-protein ligase Praja-2,"['GO:0030054', 'GO:0005737', 'GO:0005789', 'GO:0000139', 'GO:0045111', 'GO:0005886', 'GO:0014069', 'GO:0045211', 'GO:0046872', 'GO:0034236', 'GO:0034237', 'GO:0061630', 'GO:0004842', 'GO:0035329', 'GO:0006954', 'GO:0045087', 'GO:0007616', 'GO:0046330', 'GO:1900745', 'GO:0034137', 'GO:0016567', 'GO:0043030', 'GO:0010738']","['Brain', 'Placenta', 'Brain', 'Embryonic kidney', 'Liver', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
529,O43166,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1,"['GO:0030054', 'GO:0005737', 'GO:0005856', 'GO:0043197', 'GO:0014069', 'GO:0045211', 'GO:0046875', 'GO:0005096', 'GO:0031532', 'GO:0090630', 'GO:0048013', 'GO:0050770', 'GO:0061001', 'GO:0043087', 'GO:0051056', 'GO:0048167']","['Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
530,O43167,ZBTB24,Zinc finger and BTB domain-containing protein 24,"['GO:0005654', 'GO:0003700', 'GO:0000981', 'GO:0046872', 'GO:0044212', 'GO:0002244', 'GO:0000122', 'GO:0045944']","['Brain', 'Brain', 'Eye']"
531,O43189,PHF1,PHD finger protein 1,"['GO:0005737', 'GO:0005815', 'GO:0005654', 'GO:0005634', 'GO:0035861', 'GO:0003682', 'GO:0003700', 'GO:0046872', 'GO:0035064', 'GO:0043565', 'GO:0006974', 'GO:0006325', 'GO:0045814', 'GO:0061086', 'GO:0061087', 'GO:0045893']","['Placenta', 'Uterus', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
532,O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,"['GO:0005813', 'GO:0005868', 'GO:0005829', 'GO:0000776', 'GO:0005770', 'GO:0005764', 'GO:0016020', 'GO:0005874', 'GO:0005524', 'GO:0045504', 'GO:0003777', 'GO:0019886', 'GO:1990090', 'GO:0051642', 'GO:0006888', 'GO:0000226', 'GO:0007018', 'GO:0051260']","['Placenta', 'Testis', 'Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver', 'Colon carcinoma']"
533,O43251,RBFOX2,RNA binding protein fox-1 homolog 2,"['GO:0005737', 'GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0003729', 'GO:0003723', 'GO:0003714', 'GO:0008134', 'GO:0048813', 'GO:0008543', 'GO:0030520', 'GO:0006397', 'GO:0045892', 'GO:0007399', 'GO:0050885', 'GO:0021942', 'GO:0000381', 'GO:0042127', 'GO:0010724', 'GO:0016070', 'GO:0008380']","['Placenta', 'Brain', 'Adrenal gland', 'Uterus', 'Liver', 'Colon carcinoma']"
534,O43283,MAP3K13,Mitogen-activated protein kinase kinase kinase 13,"['GO:0005737', 'GO:0016020', 'GO:0005524', 'GO:0042802', 'GO:0106137', 'GO:0004706', 'GO:0004709', 'GO:0046872', 'GO:0042803', 'GO:0019901', 'GO:0004674', 'GO:0007256', 'GO:0007257', 'GO:0000186', 'GO:0007254', 'GO:0000165', 'GO:0018105', 'GO:0045773', 'GO:1905492', 'GO:0014042', 'GO:0150012', 'GO:0051092', 'GO:0046777', 'GO:0006468']","['Cerebellum', 'Brain', 'Testis', 'Tongue', 'Brain']"
535,O43286,B4GALT5,"Beta-1,4-galactosyltransferase 5","['GO:0032580', 'GO:0000139', 'GO:0016021', 'GO:0003831', 'GO:0008378', 'GO:0046872', 'GO:0003945', 'GO:0008489', 'GO:0022010', 'GO:0021955', 'GO:0010706', 'GO:0018146', 'GO:0042551', 'GO:0016266', 'GO:0030311', 'GO:0040019', 'GO:0006486', 'GO:0031647']","['Mammary tumor', 'Cerebellum', 'Lung', 'Brain']"
536,O43296,ZNF264,Zinc finger protein 264,"['GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0046872']","['Brain', 'Testis', 'Embryonic kidney', 'Cervix carcinoma']"
537,O43298,ZBTB43,Zinc finger and BTB domain-containing protein 43,"['GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0046872']","['Brain', 'Muscle', 'Erythroleukemia']"
538,O43309,ZSCAN12,Zinc finger and SCAN domain-containing protein 12,"['GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0046872']","['Brain', 'Skin']"
539,O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,"['GO:0005671', 'GO:0005829', 'GO:0010008', 'GO:0005634', 'GO:0005886', 'GO:0005524', 'GO:0042802', 'GO:0000287', 'GO:0004709', 'GO:0004672', 'GO:0004674', 'GO:0030971', 'GO:0097110', 'GO:0000187', 'GO:0000186', 'GO:0007250', 'GO:0043276', 'GO:0038095', 'GO:0043966', 'GO:0007249', 'GO:0007252', 'GO:0070498', 'GO:0007254', 'GO:0002755', 'GO:0070423', 'GO:0043123', 'GO:0032743', 'GO:0043507', 'GO:0016239', 'GO:0051092', 'GO:0002726', 'GO:0016579', 'GO:0002223', 'GO:0051403', 'GO:0050852', 'GO:0007179', 'GO:0016032', 'GO:0007223']","['Lung', 'Trachea', 'Uterus', 'Cervix carcinoma', 'Platelet', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
540,O43353,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,"['GO:0005737', 'GO:0005856', 'GO:0005829', 'GO:0032991', 'GO:0031982', 'GO:0005524', 'GO:0050700', 'GO:0089720', 'GO:0042802', 'GO:0004706', 'GO:0030274', 'GO:0004715', 'GO:0042803', 'GO:0004674', 'GO:0005102', 'GO:0097202', 'GO:0007257', 'GO:0000187', 'GO:0002250', 'GO:0006915', 'GO:0071223', 'GO:0071225', 'GO:0071224', 'GO:0050830', 'GO:0007249', 'GO:0006954', 'GO:0045087', 'GO:0070498', 'GO:0007254', 'GO:0031663', 'GO:0000165', 'GO:0043066', 'GO:0070427', 'GO:0070431', 'GO:0070423', 'GO:0046641', 'GO:0043065', 'GO:0010942', 'GO:0032722', 'GO:0001961', 'GO:0070374', 'GO:0043123', 'GO:0033091', 'GO:0032727', 'GO:0032728', 'GO:0032729', 'GO:0050718', 'GO:0032735', 'GO:0032743', 'GO:0032755', 'GO:0051092', 'GO:0033138', 'GO:0010800', 'GO:0050731', 'GO:0032092', 'GO:0031398', 'GO:0045627', 'GO:0045944', 'GO:0032760', 'GO:1904417', 'GO:0043330', 'GO:0070671', 'GO:0070673', 'GO:0007165', 'GO:0042098', 'GO:0050852', 'GO:0034134', 'GO:0034142']","['Endothelial cell', 'Pancreatic adenocarcinoma', 'Synovium', 'Skin', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
541,O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,"['GO:0043679', 'GO:0071013', 'GO:0030425', 'GO:0005783', 'GO:0030426', 'GO:0005654', 'GO:0005634', 'GO:1990904', 'GO:0005681', 'GO:0003730', 'GO:0003729', 'GO:0003723', 'GO:0007623', 'GO:0061157', 'GO:0006397', 'GO:0000398', 'GO:0043086', 'GO:0016070']","['Brain', 'Placenta', 'Ovarian carcinoma', 'Fetal brain', 'Erythroleukemia', 'Liver']"
542,O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,"['GO:0005829', 'GO:0016281', 'GO:0003729', 'GO:0003723', 'GO:0000339', 'GO:0008135', 'GO:0003743', 'GO:0006446']","['PNS', 'Testis', 'Ovary', 'Cervix carcinoma', 'Embryonic kidney', 'Platelet', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
543,O43439,CBFA2T2,Protein CBFA2T2,"['GO:0005634', 'GO:0003700', 'GO:0046872', 'GO:0003714', 'GO:0060575', 'GO:0010977', 'GO:0045746', 'GO:0000122', 'GO:0045892', 'GO:0010976']","['Leukemia', 'Leukemia', 'Brain', 'Hippocampus', 'Eye', 'Ovary', 'Prostate', 'Fetal brain', 'Retina', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
544,O43462,MBTPS2,Membrane-bound transcription factor site-2 protease,"['GO:0005737', 'GO:0005789', 'GO:0000139', 'GO:0016021', 'GO:0046872', 'GO:0004222', 'GO:0036500', 'GO:0070977', 'GO:0008203', 'GO:0030968', 'GO:0031293', 'GO:0051091', 'GO:1990440', 'GO:0045540', 'GO:0034976']",['Fibroblast']
545,O43482,OIP5,Protein Mis18-beta,"['GO:0015030', 'GO:0000785', 'GO:0010369', 'GO:0000775', 'GO:0005829', 'GO:0016607', 'GO:0005654', 'GO:0005634', 'GO:0042802', 'GO:0046872', 'GO:0007154', 'GO:0007049', 'GO:0051301', 'GO:0034080', 'GO:0007059']","['Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
546,O43502,RAD51C,DNA repair protein RAD51 homolog 3,"['GO:0030054', 'GO:0005737', 'GO:0005829', 'GO:0043231', 'GO:0005739', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0033063', 'GO:0033065', 'GO:0005657', 'GO:0005524', 'GO:0008821', 'GO:0003677', 'GO:0008094', 'GO:0007596', 'GO:0006310', 'GO:0006281', 'GO:0000724', 'GO:0007066', 'GO:0007141', 'GO:0010971', 'GO:0007131', 'GO:0007062', 'GO:0007283', 'GO:0000722']",['Erythroleukemia']
547,O43521,BCL2L11,Bcl-2-like protein 11,"['GO:0097136', 'GO:0097141', 'GO:0097140', 'GO:0005829', 'GO:0012505', 'GO:0019898', 'GO:0005741', 'GO:0005739', 'GO:0008017', 'GO:0046982', 'GO:0019901', 'GO:0006919', 'GO:0006915', 'GO:1902263', 'GO:0001783', 'GO:0001782', 'GO:0007420', 'GO:0007160', 'GO:0060154', 'GO:0071385', 'GO:0048066', 'GO:0043583', 'GO:0097192', 'GO:0001701', 'GO:0008630', 'GO:0001822', 'GO:0008584', 'GO:0030879', 'GO:0002262', 'GO:0042475', 'GO:0043065', 'GO:0060139', 'GO:0034263', 'GO:0045787', 'GO:0043280', 'GO:1902237', 'GO:2000271', 'GO:2001244', 'GO:1903896', 'GO:0043525', 'GO:0032464', 'GO:0090200', 'GO:0048563', 'GO:0001844', 'GO:0042981', 'GO:0048070', 'GO:0046620', 'GO:0034976', 'GO:0007283', 'GO:0048536', 'GO:0043029', 'GO:0070242', 'GO:0048538', 'GO:0035148']","['Peripheral blood', 'Spleen', 'Embryonic kidney', 'Ovarian cancer', 'Teratocarcinoma', 'Tongue', 'Blood', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia']"
548,O43524,FOXO3,Forkhead box protein O3,"['GO:0005737', 'GO:0005829', 'GO:0005759', 'GO:0005741', 'GO:0005654', 'GO:0005634', 'GO:0032991', 'GO:0008013', 'GO:0031490', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0001227', 'GO:0034246', 'GO:0019901', 'GO:0000978', 'GO:0043565', 'GO:0001221', 'GO:0008134', 'GO:0007568', 'GO:0001547', 'GO:0048854', 'GO:1904646', 'GO:0071386', 'GO:0071333', 'GO:0071456', 'GO:1990090', 'GO:0034599', 'GO:0019221', 'GO:0030330', 'GO:0097192', 'GO:0042593', 'GO:0001544', 'GO:0008286', 'GO:0006390', 'GO:0090090', 'GO:0030336', 'GO:0045665', 'GO:0000122', 'GO:0097150', 'GO:0001556', 'GO:0001542', 'GO:0043065', 'GO:2000353', 'GO:0045648', 'GO:1901300', 'GO:0043525', 'GO:1903428', 'GO:0045944', 'GO:0045893', 'GO:2000177', 'GO:0006357', 'GO:0006417', 'GO:0071548', 'GO:0031667', 'GO:1990785', 'GO:0033209']","['Rhabdomyosarcoma', 'Stomach', 'Muscle', 'Placenta', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia']"
549,O43572,AKAP10,"A-kinase anchor protein 10, mitochondrial","['GO:0005829', 'GO:0005739', 'GO:0005886', 'GO:0032991', 'GO:0051018', 'GO:0007596', 'GO:0008104', 'GO:0007165']","['Brain', 'Brain', 'Lung', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
550,O43583,DENR,Density-regulated protein,"['GO:0003729', 'GO:0003743', 'GO:0001731', 'GO:0075522', 'GO:0032790', 'GO:0002188']","['Heart', 'Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
551,O43592,XPOT,Exportin-T,"['GO:0005737', 'GO:0005829', 'GO:0016363', 'GO:0005643', 'GO:0005654', 'GO:0008536', 'GO:0000049', 'GO:0006409', 'GO:0071528']","['Cervix carcinoma', 'Cervix carcinoma', 'Lymph', 'Placenta', 'B-cell lymphoma']"
552,O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial","['GO:0016021', 'GO:0005743', 'GO:0005747', 'GO:0005739', 'GO:0005654', 'GO:0008137', 'GO:0006120', 'GO:0032981']","['Heart', 'Brain', 'Skin', 'Urinary bladder', 'Liver']"
553,O43677,NDUFC1,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial","['GO:0016021', 'GO:0005743', 'GO:0005747', 'GO:0005739', 'GO:0008137', 'GO:0006120', 'GO:0032981']","['Heart', 'Umbilical cord blood', 'Brain', 'Skin']"
554,O43684,BUB3,Mitotic checkpoint protein BUB3,"['GO:1990298', 'GO:0000777', 'GO:0005829', 'GO:0000776', 'GO:0033597', 'GO:0005654', 'GO:0043130', 'GO:0031145', 'GO:0008608', 'GO:0051301', 'GO:0051321', 'GO:0000070', 'GO:0007094', 'GO:0034501', 'GO:1901990']","['Spleen', 'Testis', 'Tongue', 'Brain', 'Placenta', 'Cervix carcinoma', 'Erythroleukemia']"
555,O43692,PI15,Peptidase inhibitor 15,"['GO:0070062', 'GO:0005615', 'GO:0030414', 'GO:0007275']","['Endometrial adenocarcinoma', 'Brain']"
556,O43736,ITM2A,Integral membrane protein 2A,"['GO:0005794', 'GO:0016021', 'GO:0005886', 'GO:0001540', 'GO:0002377', 'GO:0042985', 'GO:0002317']","['Umbilical cord blood', 'Brain', 'Thymus', 'Pancreas']"
557,O43739,CYTH3,Cytohesin-3,"['GO:0005912', 'GO:0005923', 'GO:0005829', 'GO:0031234', 'GO:0000139', 'GO:0005654', 'GO:0005886', 'GO:0001726', 'GO:0005086', 'GO:0005547', 'GO:0090162', 'GO:0048193', 'GO:0045785', 'GO:0032012']","['Placenta', 'Brain']"
558,O43741,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,"['GO:0005737', 'GO:0005829', 'GO:0005654', 'GO:0031588', 'GO:0005634', 'GO:0042802', 'GO:0019901', 'GO:0007050', 'GO:0006633', 'GO:0016236', 'GO:0120162', 'GO:0006468', 'GO:0050790', 'GO:0042304', 'GO:0007165']","['Brain', 'Trachea', 'Pancreas', 'Cervix carcinoma', 'Cervix carcinoma', 'Liver', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
559,O43747,AP1G1,AP-1 complex subunit gamma-1,"['GO:0030121', 'GO:0030119', 'GO:0030136', 'GO:0030665', 'GO:0005737', 'GO:0030659', 'GO:0005829', 'GO:0005794', 'GO:0000139', 'GO:0043231', 'GO:0005765', 'GO:0016020', 'GO:0055037', 'GO:0032588', 'GO:0030742', 'GO:0019894', 'GO:0017137', 'GO:0005215', 'GO:0019886', 'GO:0035646', 'GO:0090160', 'GO:0006886', 'GO:0032438', 'GO:0043323', 'GO:0045954', 'GO:0050690']","['Fetal brain', 'Uterus', 'Liver']"
560,O43752,STX6,Syntaxin-6,"['GO:0030136', 'GO:0005829', 'GO:0005769', 'GO:0012505', 'GO:0005794', 'GO:0000139', 'GO:0016021', 'GO:0030285', 'GO:0005654', 'GO:0048471', 'GO:0045335', 'GO:0005886', 'GO:0031201', 'GO:0008021', 'GO:0005802', 'GO:0032588', 'GO:0005484', 'GO:0000149', 'GO:0019905', 'GO:0032456', 'GO:0007032', 'GO:0090161', 'GO:0048193', 'GO:0006886', 'GO:1903827', 'GO:0032880', 'GO:0042147', 'GO:0016189', 'GO:0048278', 'GO:0006906']","['Brain', 'Muscle', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
561,O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,"['GO:0005813', 'GO:0005737', 'GO:0005815', 'GO:0005847', 'GO:0005849', 'GO:0016604', 'GO:0005654', 'GO:0005634', 'GO:0042382', 'GO:0017091', 'GO:0003682', 'GO:0042826', 'GO:0016787', 'GO:0042802', 'GO:0003729', 'GO:0042803', 'GO:0003723', 'GO:0030154', 'GO:1990120', 'GO:0031124', 'GO:0110104', 'GO:0006378', 'GO:0006397', 'GO:0000398', 'GO:0031439', 'GO:1900365', 'GO:2000975', 'GO:2000738', 'GO:0010608', 'GO:0098789', 'GO:0051290', 'GO:0051262', 'GO:0006369']","['Brain', 'Retina', 'Placenta', 'Ovarian carcinoma', 'Liver', 'Colon carcinoma']"
